제목,채널명,업로드 날짜,영상 길이,subscriber_count,구독자수,조회수 한글표현,조회수 간편,반응도 (조회수/구독자),반응 해석,영상 링크
현 토스 상황..;;,Jay-Z,2021-08-06T14:45:30Z,13초,183,183,85만 1천 6백,"851,681",4653.99,버즈 콘텐츠,https://www.youtube.com/watch?v=Eu7_08QCo18
후쿠오카 공항 출국줄ㅎㄷㄷ #japantravel #fukuoka #fukuokajapan #후쿠오카여행 #후쿠오카,포에버film,2022-12-27T15:33:37Z,14초,456,456,121만 7천 3백,"1,217,325",2669.57,버즈 콘텐츠,https://www.youtube.com/watch?v=gM8b8tQWCSQ
쿠팡알바 ㄹㅇ후기,라기라기,2023-08-01T12:04:45Z,49초,1270,"1,270",294만 1백,"2,940,107",2315.04,버즈 콘텐츠,https://www.youtube.com/watch?v=F6q16xJdxZE
쿠팡 7일차 월급(계약직),쿠의 다이어리,2024-03-13T08:06:44Z,12초,382,382,29만 1천 1백,"291,124",762.1,버즈 콘텐츠,https://www.youtube.com/watch?v=h6G6uZtQGfI
어느하나 '모'자람 없는 현실판 사이타마,지식먹잡,2023-05-11T09:15:00Z,24초,3660,"3,660",191만 8천,"1,918,038",524.05,버즈 콘텐츠,https://www.youtube.com/watch?v=I6P7cfOogN0
-17kg 얼굴 변화 ❤️‍🔥❤️‍🔥,행자씨 haengzassi,2023-08-23T07:12:15Z,19초,158000,"158,000",5164만 6천 3백,"51,646,365",326.88,버즈 콘텐츠,https://www.youtube.com/watch?v=YW4rnPX0Mfs
쿠팡알바 ㄹㅇ꿀팁,라기라기,2023-09-15T16:16:45Z,51초,1270,"1,270",32만 9백,"320,938",252.71,버즈 콘텐츠,https://www.youtube.com/watch?v=c2sF2EDrn_w
스마트한 엄마 부업! 쿠팡파트너스 스텝 첫단계,돈 버는 엄마,2024-08-16T06:22:28Z,15초,184,184,3만 6천 7백,"36,724",199.59,버즈 콘텐츠,https://www.youtube.com/watch?v=fVKzn-r8vMU
티스토리 일방문자 300명대 구글 에드센스 현실 수익 ??만원,1분부업 디노(디지털 노가다),2023-08-23T23:15:00Z,9초,226,226,3만 3천 9백,"33,946",150.2,버즈 콘텐츠,https://www.youtube.com/watch?v=YEzxBSGKHSc
너무 놀래서 당황한 좀비 알바생,동영상갤러리,2022-04-03T02:02:32Z,11초,48300,"48,300",376만 5천 7백,"3,765,779",77.97,버즈 콘텐츠,https://www.youtube.com/watch?v=EpXCDZ17-k8
쿠팡알바 후기 1분 요약,그의 취미,2024-09-14T15:44:07Z,1분 0초,6260,"6,260",38만 5천 8백,"385,874",61.64,버즈 콘텐츠,https://www.youtube.com/watch?v=72IQ0SR-y3A
여자가 보면 무서운 벌레 #shorts,리뷰잘하개,2023-02-05T04:30:13Z,21초,82200,"82,200",343만 6천,"3,436,037",41.8,강한 반응,https://www.youtube.com/watch?v=tN_y9teWgqU
라면 보다 쉬운 파스타 만들기,다솔쿠 DASOL COO,2023-04-24T13:00:41Z,15초,109000,"109,000",452만 3천 5백,"4,523,544",41.5,강한 반응,https://www.youtube.com/watch?v=sfPYotqyD18
